SampleName	Time	Treatment
EQ_00_A	 0	EQ
EQ_00_B	 0	EQ
EQ_00_C	 0	EQ
EQ_04_A	 4	EQ
EQ_04_B	 4	EQ
EQ_04_C	 4	EQ
EQ_08_A	 8	EQ
EQ_08_B	 8	EQ
EQ_08_C	 8	EQ
EQ_12_A	12	EQ
EQ_12_B	12	EQ
EQ_12_C	12	EQ
EQ_16_A	16	EQ
EQ_16_B	16	EQ
EQ_16_C	16	EQ
EQ_20_A	20	EQ
EQ_20_B	20	EQ
EQ_20_C	20	EQ
EQ_00_A	24	EQ
EQ_00_B	24	EQ
EQ_00_C	24	EQ
LD_00_A	 0	LD
LD_00_B	 0	LD
LD_00_C	 0	LD
LD_04_A	 4	LD
LD_04_B	 4	LD
LD_04_C	 4	LD
LD_08_A	 8	LD
LD_08_B	 8	LD
LD_08_C	 8	LD
LD_12_A	12	LD
LD_12_B	12	LD
LD_12_C	12	LD
LD_16_A	16	LD
LD_16_B	16	LD
LD_16_C	16	LD
LD_20_A	20	LD
LD_20_B	20	LD
LD_20_C	20	LD
LD_00_A	24	LD
LD_00_B	24	LD
LD_00_C	24	LD
SD_00_A	 0	SD
SD_00_B	 0	SD
SD_00_C	 0	SD
SD_04_A	 4	SD
SD_04_B	 4	SD
SD_04_C	 4	SD
SD_08_A	 8	SD
SD_08_B	 8	SD
SD_08_C	 8	SD
SD_12_A	12	SD
SD_12_B	12	SD
SD_12_C	12	SD
SD_16_A	16	SD
SD_16_B	16	SD
SD_16_C	16	SD
SD_20_A	20	SD
SD_20_B	20	SD
SD_20_C	20	SD
SD_00_A	24	SD
SD_00_B	24	SD
SD_00_C	24	SD
