genes	logFC	logCPM	F	PValue	FDR
AT3G54910	-2.39373944657257	10.0268783385128	1621.80443360597	4.8907735834304e-09	2.91827953400099e-05
AT1G08477	2.65097455269082	11.6481772443324	1285.57167964984	1.03684018982725e-08	2.91827953400099e-05
AT5G63195	-1.72605585388606	11.6410041600749	1282.13413390037	1.04585337498542e-08	2.91827953400099e-05
AT1G06002	3.23592823679942	10.6661354521771	1170.14615916571	1.40525763303525e-08	2.94085291153451e-05
AT3G46668	2.4028886273304	9.35069297985698	1086.3286253621	1.78663734688493e-08	2.99118824615475e-05
AT3G04255	3.31062930937575	8.04047159242454	758.979293429152	5.6821667316114e-08	7.53175840073506e-05
AT3G16240	-2.12007859706607	11.1026838578552	735.117878138346	6.29820915125378e-08	7.53175840073506e-05
AT4G06665	1.4381519092959	12.2807804194304	656.584703022159	9.06219598672672e-08	9.48245532561117e-05
AT3G51238	2.5192072200684	11.1176376758591	613.767020095949	1.12584780563668e-07	0.000104716355344274
AT3G61060	-144269492.890326	7.73748158678751	3124.68729740101	1.45898509185679e-07	0.000117397477090127
AT5G09285	-1.55879728699455	8.8098809904112	527.237942727447	1.83500159035056e-07	0.000117397477090127
AT1G23050	-2.51441316307068	7.49272638657242	524.964530448966	1.86064938027197e-07	0.000117397477090127
AT2G23672	1.48199984632303	11.1501060134351	518.030352188172	1.94183244731238e-07	0.000117397477090127
AT5G64572	-2.14786385890262	12.2717730410595	516.251450114177	1.96340303340315e-07	0.000117397477090127
AT1G52240	1.98652915335133	9.36683563358469	452.703332629934	2.9927868202239e-07	0.00014777526484838
AT2G41105	-2.32158175186599	10.4103765317981	449.086911444641	3.0707494543091e-07	0.00014777526484838
AT3G03475	0.774496323922222	12.2216799820684	445.614211907977	3.14813269645275e-07	0.00014777526484838
AT2G04380	-1.09117229139275	10.1607332095919	444.321784816591	3.17758304535998e-07	0.00014777526484838
AT5G06385	2.67729225559323	7.3163679652534	420.160236513314	3.80112951184397e-07	0.000163491039286065
AT1G04760	2.68492045253356	6.80382725838677	416.601239639585	3.90612923870659e-07	0.000163491039286065
AT3G16525	2.37260750588333	10.9836254423633	405.923754813305	4.24480673452547e-07	0.000169206081784346
AT1G31920	144269491.147456	6.00717403698395	1775.98703003567	5.18197191736399e-07	0.000181915749102576
AT3G03265	-2.73559270526561	8.95050323983386	379.832545662242	5.25044889896809e-07	0.000181915749102576
AT3G01505	0.913785616577316	11.3529785352269	371.964315211978	5.61399836565749e-07	0.000181915749102576
AT4G17098	1.08523371341399	10.3051730172072	371.062758321129	5.65773310705092e-07	0.000181915749102576
AT1G24280	144269491.113963	5.97409983113573	1693.36537408592	5.76610100546914e-07	0.000181915749102576
AT5G64920	-1.5354388414338	7.78409204820606	363.394007019864	6.04839252223624e-07	0.000181915749102576
AT4G00163	1.19260197901469	10.2611239544951	362.711198045365	6.08486557743654e-07	0.000181915749102576
AT4G36808	1.04107445557616	11.3746776194627	353.755952957316	6.59098747073543e-07	0.000190252262474229
AT5G01095	-1.66178317448131	8.32504883279777	334.261703237657	7.89905223736322e-07	0.000220409887596558
AT1G05207	1.47617617213558	9.46150599043806	328.110917870754	8.38147906260787e-07	0.000226248412236056
AT3G17390	0.766171902993693	11.1768237926841	324.898053977054	8.64884624483789e-07	0.000226248412236056
AT1G72600	-0.911401148561763	14.7280606141965	309.54766415596	1.00925333356908e-06	0.000244688133014088
AT1G75780	-144269490.631891	5.49591599318799	1313.99624432078	1.0180650944541e-06	0.000244688133014088
AT1G78570	1.98980382766497	8.39843334108363	308.230614475203	1.02306590078761e-06	0.000244688133014088
AT4G18670	-1.61666093938971	8.96130549461407	303.004307883394	1.08037918237179e-06	0.000244800895638953
AT4G00880	144269491.921358	6.77403005454588	1278.74275289421	1.08202522263066e-06	0.000244800895638953
AT5G66053	-2.23280736068775	9.10459491249915	296.530252481045	1.15734410850649e-06	0.000244986834880133
AT4G36730	-1.77287983725522	8.78591811375576	295.407933229014	1.1714089224527e-06	0.000244986834880133
AT2G24820	1.18497884915742	8.52718687911374	294.650176129877	1.18103170832939e-06	0.000244986834880133
AT4G34135	1.83546187232502	8.14213870120783	290.804167631188	1.2314998349391e-06	0.000244986834880133
AT3G17790	144269490.658307	5.52483222442905	1199.8557048135	1.247920053767e-06	0.000244986834880133
AT1G24996	-1.0106619420897	9.96347411039317	288.834263487837	1.2584439015465e-06	0.000244986834880133
AT1G05562	3.62943104279957	12.3097398906497	404.680814913659	1.32655557976521e-06	0.000250441458476585
AT3G25910	-1.2280535602966	8.48331453887589	282.345534750859	1.35283828793847e-06	0.000250441458476585
AT1G08043	1.72467526458742	8.3435860629731	279.49316149832	1.3972650894099e-06	0.000250441458476585
AT3G19002	1.12801279181295	8.95113797847919	278.937924587019	1.4061340996774e-06	0.000250441458476585
AT4G13920	-1.64002021573934	7.02751506839465	276.064116672026	1.4532347437932e-06	0.000253378527987453
AT3G51330	-2.7592578611752	7.18381989607289	272.606876481298	1.51267085660736e-06	0.000253378527987453
AT1G25097	-1.0816115686211	10.9628561530894	272.563847023114	1.51343046223541e-06	0.000253378527987453
AT1G08645	2.046073406139	8.10502278444643	270.053674374637	1.55862014332623e-06	0.000255086626720267
