genes	logFC	logCPM	F	PValue	FDR
AT3G55880	144269490.292908	5.16060528681844	835.576908210604	3.04106815952015e-06	0.0124338418696507
AT1G10390	144269490.092602	4.96402800238903	822.450928093437	3.14980161359106e-06	0.0124338418696507
AT2G29570	-144269489.557097	4.44183137161155	551.844193368903	7.62716584813243e-06	0.0200721581236685
AT5G07370	144269489.521331	4.40629940573473	301.823343867471	2.89095727887964e-05	0.0522122694241316
AT5G43780	-144269488.574598	3.49919292258582	267.641819014304	3.76585428341945e-05	0.0522122694241316
AT1G07010	-144269488.901583	3.81000620542825	256.027487837394	4.15144158921647e-05	0.0522122694241316
AT3G02040	1.58953098091049	5.90424949861827	89.7911405573176	5.04844814295724e-05	0.0522122694241316
AT3G26240	-144269489.099635	3.99981695380355	229.246757467636	5.29066694608046e-05	0.0522122694241316
AT3G20898	-144269488.38504	3.32070718015861	166.810308123995	0.00010603327050978	0.0930147411860792
AT3G02030	-2.86855375034754	5.52425927193044	67.5609922670823	0.00011884725951242	0.0938299113850557
AT5G06505	1.09530441453461	7.19072499945478	61.8691577006801	0.000154345688718385	0.107850071880774
AT2G43630	144269488.289277	3.23012551534756	136.52632631875	0.000163926645037275	0.107850071880774
AT5G39510	-144269487.805055	2.78465638505474	112.828364447956	0.000247610967017522	0.149871729594247
AT1G69270	-144269488.18655	3.13575902799655	109.185985977174	0.00026576367502463	0.149871729594247
AT3G07365	1.91772715484592	5.76951071761538	47.5970688352495	0.000332349293297615	0.174926511372311
AT4G25315	-144269488.93942	3.84628986461138	93.1910265604052	0.000373529231811876	0.177698646217084
AT1G07477	-0.894749200149311	6.86538983632436	44.7627055906385	0.000396589824694616	0.177698646217084
AT1G06460	0.694723323895746	8.43083147575367	43.707088458392	0.000424654212663517	0.177698646217084
AT4G05150	1.41553103389747	4.86292650082431	43.5999184016389	0.000427647153657327	0.177698646217084
AT1G13940	144269487.883764	2.85358249654821	82.7055155490694	0.000482099017370213	0.190308587106892
AT3G62030	-0.936790053492093	5.33967849496732	40.3818302083269	0.000532005271961881	0.200008648673288
AT1G80850	-144269488.253639	3.19824559747646	76.4701336557375	0.000569639377134343	0.204422858294347
AT4G08785	0.915894678194445	6.92706264090221	38.5429086505309	0.00060692808780328	0.204659602997628
AT5G10600	-1.11507254118407	5.95967622110074	37.327167725656	0.00066419281792115	0.204659602997628
AT3G57290	-144269487.564376	2.56727132591862	69.9377295947956	0.000688378367969096	0.204659602997628
AT1G48760	-1.22448944802774	8.94134801759561	36.2496558165583	0.000721007045342306	0.204659602997628
AT5G19140	0.666529034871897	9.76977980148728	36.1830889834694	0.000724722412277015	0.204659602997628
AT3G12020	-0.848606708477752	6.90152045664811	36.1632386094939	0.000725835197458338	0.204659602997628
AT5G14230	-144269487.435557	2.45229764076017	61.2675176382099	0.000909951876944192	0.247726554085324
AT1G73790	144269487.477078	2.48642914206827	59.8127585610115	0.000957034349573209	0.251859539662683
AT1G77760	1.49026335752987	4.41766502631909	32.2277210407198	0.000999175300877465	0.253686115820729
AT5G53570	144269487.401211	2.42121474028235	57.2458853318029	0.00104915217914418	0.253686115820729
AT3G56410	0.745366511291138	6.40561832563042	31.5378548768053	0.0010603726183767	0.253686115820729
AT1G09623	0.850277904812438	7.7581339279705	30.9358939223004	0.00111784586170192	0.259370279206991
AT1G44125	-144269487.350129	2.377289730294	54.3196419863936	0.00117068724942369	0.259370279206991
AT4G01670	1.29667611206481	4.70758993330142	30.1625321542917	0.00119783040397795	0.259370279206991
