genes	logFC	logCPM	F	PValue	FDR
AT5G64572	2.48070282611749	12.6234302265855	666.308919134716	1.39202081027187e-07	0.000791852330168283
AT3G13060	4.73983632898105	7.36727024050111	541.121511614628	2.65009013602738e-07	0.000791852330168283
AT4G10480	-144269493.846961	8.69184134951641	3254.6539199678	2.75554690929689e-07	0.000791852330168283
AT1G09421	2.67233636234976	7.99439828643747	395.933563136957	6.94799359339802e-07	0.00105120454561398
AT5G22140	-144269491.137876	5.99491189257318	1588.42657499734	1.25963256821939e-06	0.00105120454561398
AT1G74670	-144269491.825235	6.67683581099937	1552.21876582407	1.32265399042943e-06	0.00105120454561398
AT3G04255	-4.70504972245916	7.30495926194902	307.884863461747	1.5052579385767e-06	0.00105120454561398
AT3G57520	3.87361592776221	6.10549821852304	295.046913339394	1.71525802144939e-06	0.00105120454561398
AT1G04760	-2.72411639480554	6.38206970534206	293.105131033571	1.7503250963117e-06	0.00105120454561398
AT2G30760	-4.53934021159685	6.90988323935008	284.784123462789	1.91179673648907e-06	0.00105120454561398
AT3G61060	144269494.00573	8.85002110179912	1284.76514583477	1.97372978942018e-06	0.00105120454561398
AT1G26750	-144269490.941121	5.80024147739339	1269.5265567249	2.02419980156913e-06	0.00105120454561398
AT5G66055	4.30525425188701	7.32850622399318	275.487308437686	2.11631572993849e-06	0.00105120454561398
AT1G15820	-2.08847229369642	10.9311721870534	273.806739675123	2.15632884777011e-06	0.00105120454561398
AT4G06665	-1.54505220958773	10.4245812498223	272.397699891158	2.19065026469832e-06	0.00105120454561398
AT4G36052	1.67212995431358	8.11955037218207	269.701923103024	2.25835054604499e-06	0.00105120454561398
AT5G64570	2.43467428848806	9.2037481258603	268.713839210036	2.28385601993668e-06	0.00105120454561398
AT3G03990	1.95993721493122	7.66442878859605	260.496461483604	2.51145658206001e-06	0.00105120454561398
AT1G69910	2.76994960434807	6.33875229129615	257.036543180925	2.61625220453211e-06	0.00105120454561398
AT1G01910	-144269491.613513	6.46653043066464	1080.28571977109	2.84814960868776e-06	0.00105120454561398
AT3G01485	-1.55047050636053	9.6359517936388	249.175717351235	2.87674647540577e-06	0.00105120454561398
AT1G52240	-2.16357772471272	9.49257635943518	247.455389370586	2.93827590513772e-06	0.00105120454561398
