geneID	LDEQ_00	LDEQ_04	LDEQ_08	LDEQ_12	LDEQ_16	LDEQ_20	SDEQ_00	SDEQ_04	SDEQ_08	SDEQ_12	SDEQ_16	SDEQ_20	SDLD_00	SDLD_04	SDLD_08	SDLD_12	SDLD_16	SDLD_20
AT1G01040	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	SD	NA	NA
AT1G01050	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	SD	NA	NA	NA	SD
AT1G01060	LD	EQ	NA	NA	NA	LD	NA	NA	NA	NA	NA	NA	LD	NA	NA	NA	NA	NA
AT1G01080	NA	EQ	LD	NA	NA	EQ	NA	NA	NA	NA	NA	NA	SD	SD	NA	NA	SD	NA
AT1G01130	NA	NA	NA	NA	LD	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA
AT1G01160	NA	NA	NA	NA	LD	LD	NA	NA	EQ	EQ	NA	NA	NA	NA	NA	LD	LD	LD
AT1G01170	NA	EQ	NA	NA	EQ	NA	SD	NA	NA	EQ	EQ	NA	SD	SD	NA	LD	LD	NA
AT1G01180	LD	NA	NA	NA	LD	NA	NA	NA	NA	EQ	NA	NA	NA	NA	NA	LD	LD	LD
AT1G01190	NA	NA	NA	NA	NA	NA	NA	NA	EQ	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01300	NA	NA	LD	NA	LD	NA	EQ	NA	NA	EQ	NA	EQ	LD	NA	LD	LD	LD	LD
AT1G01320	NA	NA	LD	NA	EQ	LD	NA	NA	NA	SD	NA	SD	NA	SD	NA	SD	SD	NA
AT1G01430	NA	NA	NA	EQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LD	SD	NA	NA
AT1G01450	LD	NA	NA	NA	LD	LD	NA	EQ	NA	EQ	EQ	NA	NA	NA	LD	LD	LD	LD
AT1G01470	EQ	NA	NA	NA	NA	NA	NA	NA	NA	EQ	NA	NA	NA	NA	NA	LD	NA	NA
AT1G01490	NA	EQ	NA	EQ	NA	LD	NA	SD	NA	EQ	SD	SD	LD	SD	NA	LD	NA	NA
AT1G01540	NA	NA	NA	NA	LD	NA	NA	NA	NA	NA	SD	SD	NA	NA	NA	NA	LD	SD
AT1G01550	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01620	NA	EQ	NA	NA	LD	NA	NA	NA	SD	EQ	NA	SD	NA	SD	SD	LD	LD	SD
AT1G01630	NA	NA	NA	NA	NA	NA	NA	EQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA
AT1G01700	NA	LD	NA	NA	LD	NA	NA	SD	NA	EQ	NA	EQ	NA	NA	NA	LD	LD	LD
AT1G01720	NA	NA	LD	NA	NA	LD	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	LD
AT1G01725	LD	NA	NA	EQ	LD	NA	NA	NA	NA	EQ	EQ	NA	LD	NA	NA	LD	LD	LD
AT1G01730	NA	NA	EQ	LD	NA	NA	NA	EQ	NA	SD	SD	NA	NA	NA	NA	NA	SD	NA
AT1G01750	NA	NA	EQ	EQ	NA	EQ	NA	SD	NA	NA	NA	SD	NA	NA	SD	SD	NA	SD
AT1G01760	NA	NA	NA	NA	LD	LD	NA	NA	NA	EQ	EQ	NA	NA	NA	NA	LD	LD	NA
AT1G01770	EQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA
AT1G01800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD
AT1G01820	NA	NA	NA	NA	LD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01830	NA	NA	EQ	NA	LD	NA	NA	SD	EQ	EQ	NA	SD	NA	SD	NA	LD	LD	NA
AT1G01840	NA	NA	NA	NA	NA	NA	NA	NA	EQ	SD	NA	NA	NA	NA	NA	SD	NA	NA
AT1G01900	EQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA
AT1G01910	NA	LD	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA
AT1G01960	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	SD	NA	NA	NA	NA	SD	NA	NA
AT1G02020	NA	NA	NA	NA	EQ	NA	NA	NA	SD	SD	NA	NA	NA	NA	NA	SD	SD	NA
AT1G02065	NA	NA	NA	NA	LD	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	NA	NA
AT1G02067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	SD	NA	NA
AT1G02110	NA	NA	NA	LD	EQ	LD	NA	NA	NA	SD	NA	EQ	NA	NA	SD	SD	SD	LD
AT1G02120	LD	NA	NA	NA	NA	NA	NA	EQ	NA	NA	NA	SD	NA	NA	NA	NA	NA	NA
AT1G02140	NA	NA	NA	LD	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02150	NA	NA	LD	NA	LD	NA	NA	NA	NA	NA	NA	SD	NA	LD	NA	NA	NA	SD
AT1G02310	NA	NA	EQ	NA	EQ	NA	NA	NA	NA	SD	NA	EQ	LD	NA	NA	NA	SD	LD
AT1G02430	LD	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA	NA	LD	NA	NA	NA	NA	NA
AT1G02500	NA	NA	NA	NA	NA	NA	EQ	NA	NA	NA	NA	SD	LD	LD	NA	NA	NA	SD
AT1G02560	NA	NA	LD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02620	NA	EQ	NA	NA	LD	LD	NA	EQ	NA	EQ	NA	NA	NA	NA	NA	LD	LD	LD
AT1G02640	NA	NA	NA	NA	LD	NA	NA	NA	NA	EQ	NA	SD	NA	NA	NA	LD	NA	SD
AT1G02650	NA	NA	NA	NA	LD	NA	NA	NA	NA	EQ	NA	NA	NA	NA	NA	LD	NA	NA
AT1G02700	NA	NA	EQ	NA	LD	LD	NA	SD	EQ	EQ	SD	NA	NA	SD	NA	LD	LD	NA
AT1G02710	NA	NA	NA	LD	LD	NA	NA	SD	NA	NA	SD	NA	NA	SD	NA	NA	NA	NA
AT1G02720	NA	LD	NA	NA	NA	NA	NA	SD	NA	SD	SD	NA	NA	NA	NA	SD	NA	NA
AT1G02780	NA	NA	LD	LD	NA	NA	EQ	NA	NA	NA	SD	SD	NA	NA	LD	NA	SD	NA
AT1G02810	NA	NA	NA	NA	NA	NA	EQ	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA
AT1G02820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SD	NA	NA	NA	NA
